state,scenario,year,hydro,gas_ct,gas_cc,coal,nuclear,geothermal,biomass,rooftop_pv,utility_pv,csp,onshore_wind,offshore_wind,storage,interruptible_load
Colorado,25,2018,643.20,1976.81,1914.63,4927.90,0.00,0.00,9.80,1051.12,0.00,0.00,2484.90,0.00,508.50,264.90
Connecticut,25,2018,118.50,3018.79,1720.50,528.15,2037.10,0.00,310.74,125.81,160.10,0.00,0.00,0.00,31.00,281.52
Delaware,25,2018,0.00,840.04,771.04,1054.53,0.00,0.00,1.47,101.22,0.00,0.00,174.70,0.00,0.00,62.61
Florida,25,2018,55.70,24621.15,18037.82,10007.70,3902.00,0.00,997.78,392.21,718.14,0.00,0.00,0.00,375.99,2134.68
Georgia,25,2018,1932.20,7883.58,5170.37,13179.44,4060.00,0.00,15.16,49.90,0.00,0.00,36.30,0.00,1761.99,913.40
Idaho,25,2018,2515.60,300.72,256.67,0.00,0.00,19.60,11.57,8.63,0.00,0.00,538.95,0.00,0.10,102.57
Illinois,25,2018,38.30,10789.80,2849.58,15263.86,11388.00,0.00,133.00,64.53,0.00,0.00,9943.51,0.00,0.00,825.27
Indiana,25,2018,234.33,3208.61,2401.43,19676.20,0.00,0.00,9.60,22.69,0.00,0.00,5028.77,0.00,0.00,579.12
Iowa,25,2018,314.88,1361.05,1080.83,5705.00,580.60,0.00,6.40,82.99,0.00,0.00,10276.46,0.00,0.00,234.47
Kansas,25,2018,2.60,3228.13,0.00,5249.80,1166.00,0.00,0.00,97.23,0.00,0.00,12387.18,0.00,0.00,284.14
Kentucky,25,2018,777.40,4418.96,0.00,14281.33,0.00,0.00,65.37,4.55,0.00,0.00,9.60,0.00,0.00,346.16
Louisiana,25,2018,192.00,10739.95,4852.52,3377.74,2124.00,0.00,87.46,298.13,0.00,0.00,0.00,0.00,0.00,309.10
Maine,25,2018,722.00,1021.84,1250.01,85.00,0.00,0.00,280.90,40.21,0.00,0.00,314.40,0.00,0.00,44.06
Maryland,25,2018,526.80,4683.48,95.83,4846.51,1735.00,0.00,172.87,47.65,0.00,0.00,2861.80,0.00,0.00,329.18
Massachusetts,25,2018,269.50,3820.93,4274.46,1733.97,684.70,0.00,432.17,88.95,0.00,0.00,196.60,1009.62,1540.00,265.97
Michigan,25,2018,374.10,13984.17,3945.53,11747.07,3982.00,0.00,248.12,17.01,0.00,0.00,14825.65,0.00,1978.80,654.77
Minnesota,25,2018,185.60,2388.87,523.25,5287.17,1617.00,0.00,209.09,36.55,0.00,0.00,7487.64,0.00,0.00,412.67
Mississippi,25,2018,0.00,6043.28,5861.60,2469.03,1266.00,0.00,93.87,9.77,0.00,0.00,0.00,0.00,0.00,278.34
Missouri,25,2018,499.20,3889.41,1694.92,11172.30,1190.00,0.00,0.00,52.68,0.00,0.00,543.80,0.00,600.40,647.60
Montana,25,2018,2512.30,108.97,0.00,2339.30,0.00,0.00,0.00,64.41,0.00,0.00,3224.77,0.00,0.00,56.72
Nebraska,25,2018,194.30,1355.09,406.90,3195.80,1238.34,0.00,4.64,19.28,0.00,0.00,4006.59,0.00,295.63,165.98
Nevada,25,2018,1047.00,1283.88,2666.90,2657.00,0.00,246.70,0.00,504.98,581.65,24.84,1929.20,0.00,0.00,212.40
New Hampshire,25,2018,445.40,459.28,1322.00,575.10,1220.10,0.00,122.03,13.36,5.49,0.00,37.80,0.00,0.00,40.38
New Jersey,25,2018,13.20,3130.39,2816.00,2015.67,3984.00,0.00,260.23,224.43,0.00,0.00,495.90,0.00,453.00,673.78
New Mexico,25,2018,78.70,1340.90,216.42,3956.90,0.00,110.00,6.40,173.42,928.25,72.67,7226.14,0.00,0.00,206.61
New York,25,2018,4652.70,13711.62,4938.43,3838.73,5150.20,0.00,543.18,433.90,0.00,0.00,4671.31,0.00,1607.22,783.89
North Carolina,25,2018,1827.50,4560.75,657.83,12680.07,4938.00,0.00,451.93,118.22,0.00,0.00,2435.18,0.00,315.00,766.61
North Dakota,25,2018,614.00,57.95,0.00,4105.87,0.00,0.00,0.00,2.78,0.00,0.00,4823.17,0.00,0.90,73.87
Ohio,25,2018,128.40,5600.55,2717.38,22163.50,2108.00,0.00,10.80,9.38,0.00,0.00,681.10,0.00,0.00,759.57
Oklahoma,25,2018,789.50,5415.71,5556.43,5284.10,0.00,0.00,0.00,58.66,0.00,0.00,5262.03,0.00,717.16,407.63
Oregon,25,2018,8240.00,133.80,1809.58,585.00,0.00,100.00,53.41,209.63,0.00,0.00,2894.05,0.00,0.00,288.57
Pennsylvania,25,2018,774.90,5529.54,7403.98,18356.80,9195.00,0.00,430.91,338.21,0.00,0.00,2303.67,0.00,1269.00,1042.39
Rhode Island,25,2018,4.30,4.96,1150.89,0.00,0.00,0.00,38.77,62.56,643.14,0.00,15.30,0.00,0.00,54.68
South Carolina,25,2018,1363.00,2977.94,1980.67,5752.19,6472.00,0.00,225.01,20.17,0.00,0.00,1043.10,0.00,2220.73,435.74
South Dakota,25,2018,1730.40,504.43,0.00,482.10,0.00,0.00,0.00,6.77,0.00,0.00,4090.13,0.00,100.11,60.76
Tennessee,25,2018,2418.00,3209.65,0.00,8441.15,3398.00,0.00,195.75,6.61,0.00,0.00,37.70,0.00,1851.28,681.19
Texas,25,2018,672.20,35077.47,29037.86,19823.00,4860.00,0.00,134.97,622.21,1963.17,0.00,17979.66,0.00,0.00,3064.64
Utah,25,2018,262.40,693.15,402.40,4735.99,0.00,170.00,1.40,16.62,0.00,0.00,705.20,0.00,0.00,180.87
Vermont,25,2018,305.60,80.43,0.00,0.00,506.00,0.00,72.00,14.09,0.00,0.00,6.00,0.00,11.21,52.00
Virginia,25,2018,740.60,5208.25,2231.61,5704.40,3432.00,0.00,175.72,36.57,0.00,0.00,1832.17,0.00,3109.30,870.11
Washington,25,2018,20797.20,436.66,1636.03,1405.00,1131.00,0.00,175.35,892.19,0.00,0.00,4112.87,0.00,314.00,488.39
West Virginia,25,2018,324.60,1288.50,0.00,14566.00,0.00,0.00,0.00,1.75,0.00,0.00,1486.00,0.00,0.00,159.45
Wisconsin,25,2018,505.00,3182.88,1833.92,6904.83,1582.00,0.00,120.52,104.05,0.00,0.00,1643.42,0.00,0.00,290.23
Wyoming,25,2018,298.80,115.08,0.00,5816.90,0.00,0.00,0.00,18.40,0.00,0.00,7967.58,0.00,9.94,49.28
Alabama,25,2020,3279.90,1449.45,7599.97,11385.02,5008.00,0.00,188.06,5.44,0.00,0.00,0.30,0.00,110.22,550.42
Arizona,25,2020,4012.20,1949.10,9058.12,5362.00,3875.00,0.00,6.50,2748.40,753.42,0.00,3258.00,0.00,199.19,795.32
Arkansas,25,2020,1308.80,1418.81,3998.00,3793.00,1834.00,0.00,4.00,6.20,0.00,0.00,51.60,0.00,101.50,367.61
California,25,2020,10032.30,18748.08,10968.11,316.90,4324.00,15931.89,723.61,6923.99,3446.99,532.00,7453.74,0.00,4740.58,1987.67
Colorado,25,2020,643.20,1855.15,1858.00,4927.90,0.00,0.00,9.80,1584.45,0.00,0.00,2484.90,0.00,508.50,336.24
Connecticut,25,2020,118.50,2925.01,1711.50,528.15,2037.10,0.00,310.74,166.13,160.10,0.00,0.00,0.00,31.00,293.76
Delaware,25,2020,0.00,833.86,725.83,1054.53,0.00,0.00,1.47,139.88,0.00,0.00,174.70,0.00,0.00,37.31
Florida,25,2020,55.70,25444.15,18025.12,10007.70,3902.00,0.00,997.78,412.98,1463.70,0.00,0.00,0.00,660.00,2218.89
Georgia,25,2020,1932.20,7729.16,5152.91,12983.22,4060.00,0.00,211.38,52.29,0.00,0.00,36.30,0.00,1761.99,587.39
Idaho,25,2020,2515.60,289.23,254.93,0.00,0.00,19.60,11.57,10.19,0.00,0.00,538.95,0.00,0.16,124.04
Illinois,25,2020,38.30,10726.13,2833.67,15263.86,11388.00,0.00,133.00,87.18,0.00,0.00,13580.88,0.00,0.00,758.65
Indiana,25,2020,234.33,3126.23,2390.27,19600.72,0.00,0.00,85.08,37.51,0.00,0.00,10809.19,0.00,0.00,672.27
Iowa,25,2020,314.88,1252.40,1073.96,5705.00,580.60,0.00,6.40,141.90,0.00,0.00,12501.81,0.00,0.32,247.92
Kansas,25,2020,2.60,2999.13,0.00,5249.80,1166.00,0.00,0.00,163.69,0.00,0.00,15718.10,0.00,0.00,333.72
Kentucky,25,2020,777.40,4369.42,0.00,14253.54,0.00,0.00,93.16,6.65,0.00,0.00,11.70,0.00,0.12,392.02
Louisiana,25,2020,192.00,10560.81,4795.43,3377.74,2124.00,0.00,87.46,441.78,0.00,0.00,0.00,0.00,0.00,300.38
Maine,25,2020,722.00,996.01,1250.01,85.00,0.00,0.00,280.90,51.27,0.00,0.00,314.40,0.00,0.00,96.75
Maryland,25,2020,526.80,4565.05,76.67,4846.51,1735.00,0.00,172.87,57.13,0.00,0.00,3266.34,0.00,0.00,397.21
Massachusetts,25,2020,269.50,3801.37,4180.95,1733.97,684.70,0.00,448.73,107.02,1.95,0.00,196.60,1367.50,1540.00,299.95
Michigan,25,2020,374.10,15404.54,3776.38,11747.07,3982.00,0.00,248.12,22.44,0.00,0.00,17721.96,0.00,1978.80,780.96
Minnesota,25,2020,185.60,2307.07,488.60,5287.17,1617.00,0.00,209.09,38.37,0.00,0.00,9469.12,0.00,0.00,468.42
Mississippi,25,2020,0.00,5997.16,5858.10,2425.08,1266.00,0.00,137.82,14.03,0.00,0.00,0.00,0.00,0.00,347.95
Missouri,25,2020,499.20,3750.86,1670.33,11172.30,1190.00,0.00,0.00,79.47,0.00,0.00,565.80,0.00,820.40,797.65
Montana,25,2020,2512.30,102.39,0.00,2339.30,0.00,0.00,0.00,82.74,0.00,0.00,3515.74,0.00,0.00,64.84
Nebraska,25,2020,194.30,1314.83,406.90,3195.80,1238.34,0.00,4.64,30.91,0.00,0.00,4806.40,0.00,295.63,188.88
Nevada,25,2020,1047.00,1234.18,2592.40,2657.00,0.00,246.70,0.00,739.78,581.65,24.84,1929.20,0.00,0.00,216.33
New Hampshire,25,2020,445.40,457.63,1322.00,575.10,1220.10,0.00,122.03,14.69,5.49,0.00,37.80,0.00,0.00,45.56
New Jersey,25,2020,13.20,2900.65,2556.36,2015.67,3984.00,0.00,260.23,242.37,0.00,0.00,496.70,0.00,453.00,781.70
New Mexico,25,2020,78.70,1321.64,214.33,3956.90,0.00,111.80,6.40,227.32,928.25,72.67,7847.88,0.00,0.00,270.93
New York,25,2020,4652.70,13800.24,4633.29,3838.73,5150.20,0.00,543.18,576.58,0.00,0.00,5191.20,0.00,1928.65,792.01
North Carolina,25,2020,1827.50,4410.71,628.67,12512.46,4938.00,0.00,619.54,146.69,0.00,0.00,2818.93,0.00,315.00,799.78
North Dakota,25,2020,614.00,54.99,0.00,4105.87,0.00,0.00,0.00,2.89,0.00,0.00,5336.28,0.00,0.90,60.32
Ohio,25,2020,128.40,5476.68,2717.38,22006.93,2108.00,0.00,167.37,10.04,0.00,0.00,681.10,0.00,0.00,756.67
Oklahoma,25,2020,789.50,5379.82,5476.17,5284.10,0.00,0.00,0.00,92.05,0.00,0.00,7565.88,0.00,896.65,535.32
Oregon,25,2020,8240.00,133.80,1713.47,585.00,0.00,124.16,53.41,291.47,0.00,0.00,2895.93,0.00,221.99,278.51
Pennsylvania,25,2020,774.90,5221.16,7358.29,18356.80,9195.00,0.00,430.91,359.96,0.00,0.00,3394.03,0.00,1271.63,1118.79
Rhode Island,25,2020,4.30,4.96,1073.71,0.00,0.00,0.00,40.09,88.01,643.14,0.00,15.30,0.00,0.00,61.65
South Carolina,25,2020,1363.00,2767.94,1969.33,5680.72,6472.00,0.00,296.48,23.20,0.00,0.00,1150.30,0.00,2252.40,545.40
South Dakota,25,2020,1730.40,468.72,0.00,482.10,0.00,0.00,0.00,10.18,0.00,0.00,4875.20,0.00,275.22,64.02
Tennessee,25,2020,2418.00,3085.69,0.00,8441.15,3398.00,0.00,195.75,7.26,0.00,0.00,37.70,0.00,2027.54,714.89
Texas,25,2020,672.20,38056.83,28836.81,19823.00,4860.00,0.00,134.97,744.19,3262.60,0.00,19228.55,0.00,0.00,3661.16
Utah,25,2020,262.40,573.48,402.40,4735.99,0.00,1313.34,1.40,21.12,0.00,0.00,705.20,0.00,0.00,168.98
Vermont,25,2020,305.60,77.21,0.00,0.00,506.00,0.00,72.00,14.45,0.00,0.00,6.00,0.00,13.84,30.12
Virginia,25,2020,740.60,4998.76,2076.27,5678.30,3432.00,0.00,202.85,40.68,0.00,0.00,2377.50,0.00,3109.30,1013.64
Washington,25,2020,20797.20,389.99,1558.30,1295.41,1131.00,0.00,284.94,1366.53,0.00,0.00,4263.28,0.00,974.00,567.65
West Virginia,25,2020,324.60,1288.50,0.00,14512.03,0.00,0.00,53.97,1.83,0.00,0.00,1486.00,0.00,45.79,121.43
Wisconsin,25,2020,505.00,2841.95,1812.83,6904.83,1582.00,0.00,120.52,133.09,0.00,0.00,4108.21,0.00,0.00,261.03
Wyoming,25,2020,298.80,115.02,0.00,5816.90,0.00,0.00,0.00,26.94,0.00,0.00,8072.38,0.00,9.94,38.83
Alabama,25,2022,3279.90,1329.17,7587.55,11377.39,5008.00,0.00,195.69,6.06,0.00,0.00,0.30,0.00,112.80,553.29
Arizona,25,2022,4012.20,1570.67,8996.27,5314.46,3875.00,0.00,54.04,4088.06,1617.42,315.84,3516.29,0.00,200.26,806.81
Arkansas,25,2022,1308.80,476.52,3992.50,1461.19,1834.00,0.00,76.62,10.67,0.00,0.00,51.60,0.00,138.72,195.25
California,25,2022,10032.30,7226.27,10750.66,316.90,4324.00,15931.89,723.61,8466.42,5112.30,852.00,7793.54,0.00,7605.25,2199.58
Colorado,25,2022,643.20,1711.55,1801.38,4764.76,0.00,0.00,36.60,2367.19,0.00,0.00,2939.00,0.00,508.50,341.25
Connecticut,25,2022,118.50,881.82,2327.06,331.22,2037.10,0.00,318.97,217.27,160.10,0.00,0.00,0.00,31.00,265.14
Delaware,25,2022,0.00,827.80,680.63,1054.53,0.00,0.00,1.47,186.81,0.00,0.00,174.70,0.00,0.00,37.31
Florida,25,2022,55.70,20091.84,30661.46,9546.25,3902.00,0.00,1691.03,479.78,2537.30,0.00,0.00,0.00,807.69,2259.12
Georgia,25,2022,1932.20,6569.78,12273.14,12983.22,4060.00,0.00,211.38,55.66,0.00,0.00,36.30,0.00,1854.60,590.67
Idaho,25,2022,2515.60,275.02,253.20,0.00,0.00,19.60,11.57,13.36,0.00,0.00,547.50,0.00,8.40,117.19
Illinois,25,2022,38.30,10165.85,2817.75,15213.92,11388.00,0.00,204.17,120.13,0.00,0.00,14964.62,0.00,0.00,672.89
Indiana,25,2022,234.33,6081.93,2379.10,11442.33,0.00,0.00,87.05,63.81,0.00,0.00,14259.09,0.00,0.00,698.95
Iowa,25,2022,604.02,634.26,1067.10,5666.12,580.60,0.00,45.28,227.28,0.00,0.00,14859.31,0.00,0.32,282.78
Kansas,25,2022,2.60,1528.05,0.00,5084.85,1166.00,0.00,164.95,258.75,800.00,0.00,17313.65,0.00,5.09,334.92
Kentucky,25,2022,777.40,6870.78,240.51,13164.17,0.00,0.00,112.39,10.38,0.00,0.00,11.70,0.00,0.47,411.27
Louisiana,25,2022,192.00,3432.87,4738.35,3377.74,2124.00,0.00,107.50,621.17,0.00,0.00,0.00,0.00,0.00,318.08
Maine,25,2022,722.00,346.27,1250.01,33.57,0.00,0.00,280.90,68.61,0.00,0.00,314.40,0.00,54.44,49.71
Maryland,25,2022,526.80,3097.15,1514.73,4846.51,1735.00,0.00,173.20,81.00,0.00,0.00,3266.34,0.00,0.00,204.12
Massachusetts,25,2022,269.50,1236.61,4087.44,726.98,684.70,0.00,475.50,133.30,1.95,0.00,196.60,1367.50,1540.00,299.91
Michigan,25,2022,374.10,13399.95,3607.22,11740.92,3982.00,0.00,267.37,36.57,0.00,0.00,19587.71,0.00,4574.84,646.75
Minnesota,25,2022,185.60,1746.41,453.95,3782.68,1617.00,0.00,209.09,41.00,0.00,0.00,10390.83,0.00,0.00,495.07
Mississippi,25,2022,0.00,4011.49,5854.60,1761.24,1266.00,0.00,138.31,19.33,0.00,0.00,0.00,0.00,0.00,341.38
Missouri,25,2022,499.20,3697.65,1663.89,9460.77,1190.00,0.00,99.40,119.18,0.00,0.00,565.80,0.00,820.40,808.81
Montana,25,2022,2512.30,67.21,0.00,2125.49,0.00,0.00,0.00,112.17,0.00,0.00,3835.99,0.00,16.06,69.57
Nebraska,25,2022,194.30,768.73,406.90,3174.25,1238.34,0.00,26.19,49.69,0.00,0.00,4806.40,0.00,1170.52,167.76
Nevada,25,2022,1047.00,742.83,2517.90,2322.53,0.00,4094.61,26.57,1111.63,581.65,133.37,2380.00,0.00,6.29,240.91
New Hampshire,25,2022,445.40,111.69,1322.00,2.64,1220.10,0.00,191.19,16.53,5.49,0.00,37.80,0.00,0.00,45.59
New Jersey,25,2022,13.20,5560.51,2296.72,1984.51,3984.00,0.00,291.39,266.53,0.00,0.00,496.70,0.00,453.00,781.51
New Mexico,25,2022,78.70,1302.46,212.25,3937.28,0.00,1265.39,26.02,297.26,1112.54,128.30,7847.88,0.00,0.00,274.33
New York,25,2022,4652.70,16380.83,6704.05,3838.73,5150.20,0.00,543.20,780.93,0.00,0.00,5554.40,0.00,2484.14,779.27
North Carolina,25,2022,1827.50,3989.00,599.50,12227.90,4938.00,0.00,619.54,204.06,0.00,0.00,2818.93,0.00,315.00,548.30
North Dakota,25,2022,614.00,16.01,0.00,3255.83,0.00,0.00,73.05,3.07,0.00,0.00,5336.28,0.00,512.85,89.04
Ohio,25,2022,128.40,4836.43,2717.38,22006.93,2108.00,0.00,167.37,11.37,0.00,0.00,681.10,0.00,0.00,917.04
Oklahoma,25,2022,789.50,1680.78,5395.90,5281.63,0.00,0.00,20.23,158.99,339.77,0.00,9755.90,0.00,1076.89,537.17
Oregon,25,2022,8240.00,133.80,1617.35,585.00,0.00,1179.34,53.41,405.68,0.00,0.00,2986.43,0.00,637.10,272.68
Pennsylvania,25,2022,774.90,5207.06,13707.62,18294.46,9195.00,0.00,493.25,389.54,0.00,0.00,3409.60,0.00,1275.10,1125.04
Rhode Island,25,2022,4.30,1.20,2292.10,0.00,0.00,0.00,45.44,124.04,645.01,0.00,15.30,0.00,0.00,61.63
South Carolina,25,2022,1363.00,2394.47,1958.00,5679.65,6472.00,0.00,305.49,34.32,0.00,0.00,1150.30,0.00,2302.87,583.51
South Dakota,25,2022,1730.40,321.52,0.00,294.72,0.00,0.00,0.76,16.82,0.00,0.00,5126.83,0.00,587.13,66.27
Tennessee,25,2022,2418.00,8959.53,0.00,6582.80,3398.00,0.00,195.75,8.73,0.00,0.00,48.60,0.00,2213.83,692.44
Texas,25,2022,672.20,33071.27,35014.94,19758.97,4860.00,0.00,281.64,983.51,5023.31,0.00,19228.55,0.00,0.00,3662.28
Utah,25,2022,262.40,572.14,402.40,4700.47,0.00,1313.34,36.92,31.86,0.00,0.00,837.60,0.00,108.28,212.03
Vermont,25,2022,305.60,20.30,0.00,0.00,506.00,0.00,72.00,15.53,0.00,0.00,6.00,0.00,21.59,30.12
Virginia,25,2022,740.60,8125.86,4620.45,3430.61,3432.00,0.00,338.44,50.76,0.00,0.00,3291.76,0.00,3422.78,930.72
Washington,25,2022,20797.20,323.37,1480.58,1295.41,1131.00,0.00,284.94,2054.02,0.00,0.00,4326.89,0.00,1757.20,279.16
West Virginia,25,2022,324.60,1288.50,0.00,14512.03,0.00,0.00,53.97,2.04,0.00,0.00,1486.00,0.00,138.48,121.67
Wisconsin,25,2022,540.35,2288.81,1791.75,5343.69,1582.00,0.00,162.48,177.00,0.00,0.00,4376.71,0.00,0.00,351.05
Wyoming,25,2022,298.80,113.52,0.00,2474.23,0.00,0.00,8.85,39.85,0.00,0.00,8610.66,0.00,464.72,37.06
Alabama,25,2024,3279.90,1236.98,7575.13,10839.48,5008.00,0.00,733.60,7.64,0.00,0.00,1.00,0.00,114.96,399.33
Arizona,25,2024,4012.20,1092.22,8934.41,5096.14,3875.00,0.00,54.04,4196.74,2360.71,752.26,4307.09,0.00,208.58,829.69
Arkansas,25,2024,1308.80,468.22,3987.00,851.96,1834.00,0.00,76.62,17.00,0.00,0.00,268.80,0.00,209.48,218.09
California,25,2024,10032.30,6213.51,10533.21,316.90,4324.00,15931.89,723.61,10089.01,7633.38,1312.80,8737.55,0.00,7605.25,2346.48
Colorado,25,2024,643.20,1687.23,1744.75,4696.07,0.00,0.00,36.60,2428.71,0.00,0.00,3621.16,0.00,508.50,347.08
Connecticut,25,2024,118.50,822.09,2318.06,221.09,2037.10,0.00,318.97,278.65,555.90,0.00,0.00,0.00,31.00,293.24
Delaware,25,2024,0.00,821.85,635.42,1054.53,0.00,0.00,1.47,195.28,0.00,0.00,174.70,0.00,0.00,37.33
Florida,25,2024,55.70,21476.08,30014.64,9433.82,3902.00,0.00,1803.46,630.03,4697.80,0.00,0.00,0.00,807.69,2597.15
Georgia,25,2024,1932.20,6362.14,12255.68,12149.83,4060.00,0.00,1044.77,60.58,0.00,0.00,42.70,0.00,1854.60,1156.72
Idaho,25,2024,2515.60,263.65,251.47,0.00,0.00,19.60,11.57,13.44,0.00,0.00,761.00,0.00,142.33,162.80
Illinois,25,2024,38.30,10114.62,2801.83,14261.25,11388.00,0.00,204.17,152.84,0.00,0.00,18173.11,0.00,0.00,674.96
Indiana,25,2024,234.33,13871.33,2367.93,8496.36,0.00,0.00,87.05,99.56,0.00,0.00,15586.62,0.00,0.00,700.46
Iowa,25,2024,604.02,548.43,1060.23,5212.69,580.60,0.00,45.28,309.88,0.00,0.00,15214.71,0.00,0.32,284.31
Kansas,25,2024,2.60,1378.86,0.00,5084.85,1166.00,0.00,164.95,344.12,800.00,0.00,18652.02,0.00,22.43,336.25
Kentucky,25,2024,777.40,7122.45,240.51,12879.09,0.00,0.00,113.00,15.48,0.00,0.00,11.70,0.00,0.47,408.31
Louisiana,25,2024,192.00,3391.47,4681.27,3273.00,2124.00,0.00,212.23,652.84,0.00,0.00,0.00,0.00,89.32,325.75
Maine,25,2024,722.00,316.09,1250.01,15.91,0.00,0.00,280.90,90.54,0.00,0.00,314.40,0.00,54.44,96.88
Maryland,25,2024,526.80,3030.54,1495.57,4846.51,1735.00,0.00,173.54,120.17,0.00,0.00,3331.20,0.00,0.00,204.38
Massachusetts,25,2024,269.50,1232.04,3993.94,299.77,684.70,0.00,475.50,167.17,3.85,0.00,196.60,1367.50,1540.00,300.14
Michigan,25,2024,374.10,13325.95,3438.07,11740.92,3982.00,0.00,267.37,61.06,0.00,0.00,27236.16,0.00,4574.84,813.95
Minnesota,25,2024,185.60,1683.29,419.30,3229.71,1617.00,0.00,209.09,43.75,0.00,0.00,13391.00,0.00,1.63,497.87
Mississippi,25,2024,0.00,3983.98,5851.10,1735.11,1266.00,0.00,164.44,20.49,0.00,0.00,0.00,0.00,0.00,234.00
Missouri,25,2024,499.20,6268.67,1639.31,8831.42,1190.00,0.00,99.40,161.26,0.00,0.00,2081.20,0.00,820.40,935.40
Montana,25,2024,2512.30,61.91,0.00,1547.90,0.00,0.00,0.00,113.00,0.00,0.00,4624.90,0.00,17.83,95.03
Nebraska,25,2024,194.30,649.90,406.90,3174.25,1238.34,0.00,26.19,67.38,0.00,0.00,5580.50,0.00,1170.52,168.22
Nevada,25,2024,1047.00,575.16,2443.40,1960.26,0.00,4094.61,26.57,1200.72,581.65,133.37,2760.70,0.00,6.29,279.87
New Hampshire,25,2024,445.40,111.27,1322.00,1.00,1220.10,0.00,191.19,19.16,5.49,0.00,37.80,0.00,0.00,88.89
New Jersey,25,2024,13.20,5259.92,2037.07,1984.51,3984.00,0.00,291.39,305.61,0.00,0.00,496.70,288.00,453.00,781.92
New Mexico,25,2024,78.70,787.19,210.17,3937.28,0.00,1265.39,33.98,363.25,1112.54,241.94,7952.41,0.00,6.51,278.26
New York,25,2024,4652.70,16826.79,6398.90,3838.71,5150.20,0.00,543.22,1063.78,0.00,0.00,8135.31,0.00,2484.14,781.27
North Carolina,25,2024,1827.50,3851.12,570.33,10409.39,4938.00,0.00,619.54,285.64,0.00,0.00,3229.06,0.00,315.00,815.85
North Dakota,25,2024,614.00,14.67,0.00,2987.24,0.00,0.00,73.05,3.49,0.00,0.00,6201.38,0.00,1115.39,89.49
Ohio,25,2024,128.40,4745.83,2717.38,22006.93,2108.00,0.00,167.37,13.86,0.00,0.00,1544.60,0.00,0.00,919.22
Oklahoma,25,2024,789.50,1292.93,5315.63,5281.63,0.00,0.00,21.77,249.71,339.77,0.00,9761.64,0.00,1188.25,543.78
Oregon,25,2024,8240.00,133.80,1521.23,585.00,0.00,1179.34,53.41,406.88,0.00,0.00,4048.42,0.00,998.27,304.17
Pennsylvania,25,2024,774.90,4987.07,13661.92,18281.89,9195.00,0.00,505.82,449.12,0.00,0.00,4396.11,0.00,1278.72,1131.52
Rhode Island,25,2024,4.30,0.00,2214.92,0.00,0.00,0.00,45.44,150.71,940.04,0.00,15.30,0.00,0.00,61.66
South Carolina,25,2024,1363.00,2300.74,1946.67,5534.70,6472.00,0.00,450.44,36.91,0.00,0.00,1150.30,0.00,2325.54,551.34
South Dakota,25,2024,1730.40,290.81,0.00,124.80,0.00,0.00,0.76,26.72,0.00,0.00,5722.35,0.00,1045.45,71.93
Tennessee,25,2024,2418.00,10484.02,0.00,5258.47,3398.00,0.00,388.20,11.53,0.00,0.00,61.30,0.00,2399.41,720.11
Texas,25,2024,672.20,31046.16,34701.36,19758.97,4860.00,0.00,283.55,1312.25,8538.68,0.00,19946.94,0.00,749.02,3788.92
Utah,25,2024,262.40,570.81,402.40,4700.47,0.00,1313.34,36.92,41.08,0.00,0.00,1037.87,0.00,353.52,242.38
Vermont,25,2024,305.60,19.48,0.00,0.00,506.00,0.00,72.00,17.17,0.00,0.00,6.00,0.00,24.04,30.14
Virginia,25,2024,740.60,10516.39,4465.11,2698.44,3432.00,0.00,439.36,68.81,0.00,0.00,3291.76,0.00,3422.78,972.63
Washington,25,2024,20797.20,277.52,1402.85,1295.41,1131.00,0.00,284.94,2058.45,0.00,0.00,6366.67,0.00,1757.20,272.11
West Virginia,25,2024,324.60,1288.50,0.00,14512.03,0.00,0.00,53.97,2.57,0.00,0.00,2043.27,0.00,138.48,121.91
Wisconsin,25,2024,540.35,2124.98,1770.67,2832.68,1582.00,0.00,162.48,181.82,0.00,0.00,5590.06,0.00,0.00,352.40
Wyoming,25,2024,298.80,113.00,0.00,1728.47,0.00,0.00,12.43,41.61,0.00,0.00,8851.04,0.00,811.47,60.70
Alabama,25,2026,3279.90,1144.81,7562.72,10839.48,5008.00,0.00,733.60,10.66,0.00,0.00,1.00,0.00,120.58,399.04
Arizona,25,2026,4012.20,703.92,8872.56,4480.19,3875.00,0.00,54.78,4334.21,2982.65,1825.48,4722.01,0.00,208.58,838.98
Arkansas,25,2026,1308.80,459.92,3981.50,665.25,1834.00,0.00,148.62,23.53,0.00,0.00,498.40,0.00,403.67,360.18
California,25,2026,10032.30,4728.00,10315.75,261.23,4324.00,15931.89,734.08,11371.49,9216.24,1889.92,8737.55,0.00,7605.25,2405.03
Colorado,25,2026,643.20,1645.16,1688.13,4547.36,0.00,0.00,142.00,2489.78,0.00,0.00,4345.58,0.00,508.50,351.16
Connecticut,25,2026,118.50,539.11,2309.06,221.09,2037.10,0.00,345.88,352.00,555.90,0.00,0.00,0.00,31.00,316.31
Delaware,25,2026,0.00,816.01,590.21,1054.53,0.00,0.00,1.47,204.46,0.00,0.00,190.30,450.00,0.00,37.17
Florida,25,2026,55.70,20689.41,29367.83,9403.55,3902.00,0.00,1833.72,904.55,9558.90,0.00,0.00,0.00,807.69,3175.75
Georgia,25,2026,1932.20,6252.34,12238.22,12016.56,4060.00,0.00,1406.73,70.39,864.00,0.00,42.70,0.00,1854.60,1156.66
